source_url,top_queries,clicks,impressions,current_target,recommendation_type,recommended_target_or_slug,rationale
https://khangvuongbooking.com/mua-them-hanh-ly-china-airlines-di-orlando-my/,mua hanh ly china airlines,0,7,,create_specific_landing,/mua-them-hanh-ly-china-airlines-di-orlando-my/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/dat-ve-may-bay-ha-noi-di-orlando-florida-my-thang-7/,vé máy bay từ hà nội đi orlando | vé máy bay đi orlando | vé máy bay đi florida mỹ | o to orlando moi,0,129,/ve-may-bay,create_specific_landing,/dat-ve-may-bay-ha-noi-di-orlando-florida-my-thang-7/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/dat-mua-ve-may-bay-japan-airlines-di-chicago/,vé máy bay đi chicago | vé máy bay từ hà nội đi chicago | vé máy bay từ tp hồ chí minh đi chicago | vé máy bay đi nhật japan airline,0,246,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-japan-airlines-di-chicago/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/ban-ve-ha-noi-di-san-francisco-my-thang-10/,vé máy bay từ hà nội đi san francisco | ve may bay di my thang 10,0,65,/hang-bay,create_specific_landing,/ban-ve-ha-noi-di-san-francisco-my-thang-10/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/khuyen-mai/page/102/,,0,1,,retire_low_value,,Trang phân trang khuyến mãi không có truy vấn và chỉ có rất ít impression; không cần giữ như đích SEO độc lập.
https://khangvuongbooking.com/dat-mua-ve-may-bay-eva-air-di-seattle/,"ve may bay eva air di my | eva seattle | thảm eva near=thuận an -wiki -youtube -tiktok -amazon -""made-in-china"" -alibaba",0,99,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-eva-air-di-seattle/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/dat-mua-ve-may-bay-china-airlines-di-boston/,vé máy bay đi boston | boston cách việt nam bao nhiêu tiếng | china boston | ve may bay china airlines di my | vé máy bay từ hà nội đi boston,0,240,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-china-airlines-di-boston/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/dat-mua-ve-may-bay-eva-air-di-washington/,ve may bay eva air di my | vé máy bay đi washington | vé máy bay đi washington dc | vé máy bay đi mỹ giá rẻ eva air | giá vé máy bay eva đi mỹ,0,240,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-eva-air-di-washington/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/dat-ve-may-bay-ha-noi-di-phoenix-arizona-my-thang-8/,vé máy bay đi phoenix,0,45,,create_specific_landing,/dat-ve-may-bay-ha-noi-di-phoenix-arizona-my-thang-8/,URL và truy vấn thể hiện intent hãng bay hoặc tuyến điểm đến cụ thể; ưu tiên landing riêng để giữ đúng hãng/dịch vụ/điểm đến.
https://khangvuongbooking.com/dich-vu-dat-ve-may-bay-cho-thu-cung-cho-meo-di-washington-dc-my/,,0,20,,create_specific_landing,/dich-vu-dat-ve-may-bay-cho-thu-cung-cho-meo-di-washington-dc-my/,"Intent là dịch vụ/quy định chuyên biệt (bà bầu hoặc vận chuyển thú cưng); cần landing riêng, không gom vào trang vé máy bay chung."
