source_path,recommendation_type,recommended_target_or_slug,rationale
/bamboo-airways-giam-50-phi-mua-hanh-ly-tra-truoc-bay-di-thai,remap_existing,/mua-them-hanh-ly-bamboo-airways,Từ khóa gắn trực tiếp với mua thêm hành lý Bamboo; route đích hợp lệ và cùng intent dịch vụ.
/chia-se-kinh-nghiem-giup-ban-kham-pha-hue-tron-ven-nhat,create_specific_landing,/chia-se-kinh-nghiem-giup-ban-kham-pha-hue-tron-ven-nhat,Bài hướng dẫn khám phá Huế có nhu cầu điểm đến cụ thể; chưa có landing tương đương nên giữ URL để xây nội dung.
/tag/chuong-trinh-khuyen-mai-cua-eva-air,retire_low_value,/tag/chuong-trinh-khuyen-mai-cua-eva-air,"Trang tag mỏng, không có click và truy vấn chủ yếu site/không thể hiện intent hữu ích; không chuyển hướng sang hub."
/vietjet-air-uu-dai-ve-0-dong-chao-don-50-nam-ruc-ro,create_specific_landing,/vietjet-air-uu-dai-ve-0-dong-chao-don-50-nam-ruc-ro,Nhu cầu khuyến mãi Vietjet cụ thể; không có route ưu đãi tương đương nên giữ URL và tạo landing riêng.
/nhung-mon-ngon-o-nha-trang-khong-bo-lo,create_specific_landing,/nhung-mon-ngon-o-nha-trang-khong-bo-lo,Truy vấn món ngon Nha Trang là intent địa điểm cụ thể; không có route tương đương nên giữ URL để tạo landing.
/tag/ve-may-bay-di-ha-noi-gia-re,retire_low_value,/tag/ve-may-bay-di-ha-noi-gia-re,"Trang tag mỏng, không có click và truy vấn chủ yếu site/không thể hiện intent hữu ích; không chuyển hướng sang hub."
/ve-jetstar-pacific-chi-tu-320d-cuc-re-nhan-dip-chao-don-may-bay-moi,create_specific_landing,/ve-jetstar-pacific-chi-tu-320d-cuc-re-nhan-dip-chao-don-may-bay-moi,Bài ưu đãi Jetstar cụ thể; không có route đích cùng intent nên giữ URL và tạo landing riêng.
/vietnam-airlines-nhan-doi-khuyen-mai-chuyen-bay-di-uc,create_specific_landing,/vietnam-airlines-nhan-doi-khuyen-mai-chuyen-bay-di-uc,Khuyến mãi Vietnam Airlines đi Úc là nhu cầu tuyến và hãng cụ thể; chưa có route tương đương nên giữ URL.
/vietjet-air-giam-gia-ve-may-bay-di-thanh-hoa-199k-dip-tet,create_specific_landing,/vietjet-air-giam-gia-ve-may-bay-di-thanh-hoa-199k-dip-tet,Nhu cầu tuyến Thanh Hóa và ưu đãi Vietjet cụ thể; chưa có landing tương đương nên giữ URL để tạo nội dung.
/bamboo-airways-khuyen-mai-ve-may-bay-black-friday-2022,create_specific_landing,/bamboo-airways-khuyen-mai-ve-may-bay-black-friday-2022,Khuyến mãi Bamboo Black Friday là chủ đề cụ thể; không có route tương đương nên giữ URL và tạo landing riêng.
/vietnam-airlines-giam-15-ve-may-bay-ky-niem-19-nam-bong-sen-vang,create_specific_landing,/vietnam-airlines-giam-15-ve-may-bay-ky-niem-19-nam-bong-sen-vang,"Intent cụ thể chưa có route tương đương; giữ nguyên URL để tạo nội dung chuyên biệt, tránh mất từ khóa."
/ve-may-bay-di-dai-bac,create_specific_landing,/ve-may-bay-di-dai-bac,Nhu cầu vé đi Đài Bắc là tuyến cụ thể; không có route đích tương đương nên giữ URL để tạo landing chuyên biệt.
