source_path,recommendation_type,recommended_target_or_slug,rationale
/tag/ve-may-bay-di-kathmandu-gia-re-tu-viet-nam,retire_low_value,/tag/ve-may-bay-di-kathmandu-gia-re-tu-viet-nam,"Trang tag mỏng, 0 click và chỉ 3 impression; không có top query hay intent đủ rõ để giữ hoặc chuyển hướng."
/tag/vietnam-airlines-km-ve-may-bay-di-uc-gia-re,retire_low_value,/tag/vietnam-airlines-km-ve-may-bay-di-uc-gia-re,"Trang tag mỏng, 0 click và chỉ 3 impression; không có top query hay intent đủ rõ để giữ hoặc chuyển hướng."
/uu-dai-48h-bay-khong-doi-cho-voi-ve-qatar-airways-chi-tu-142-trieu-dong,create_specific_landing,/uu-dai-48h-bay-khong-doi-cho-voi-ve-qatar-airways-chi-tu-142-trieu-dong,"URL có intent cụ thể về hãng, tuyến hoặc ưu đãi; route hiện tại chỉ là hub chung và không tương đương, nên giữ URL để tạo landing riêng."
/khuyen-mai-hang-loat-ve-vietnam-airlines-khu-hoi-di-chau-au,create_specific_landing,/khuyen-mai-hang-loat-ve-vietnam-airlines-khu-hoi-di-chau-au,"URL có intent cụ thể về hãng, tuyến hoặc ưu đãi; route hiện tại chỉ là hub chung và không tương đương, nên giữ URL để tạo landing riêng."
/tag/nok-air-km-ve-may-bay-di-thai-lan-gia-re,retire_low_value,/tag/nok-air-km-ve-may-bay-di-thai-lan-gia-re,"Trang tag mỏng, 0 click và chỉ 3 impression; không có top query hay intent đủ rõ để giữ hoặc chuyển hướng."
/lich-bay-chuyen-gia-tu-nuoc-ngoai-ve-viet-nam-thang-4-2021,create_specific_landing,/lich-bay-chuyen-gia-tu-nuoc-ngoai-ve-viet-nam-thang-4-2021,"URL có intent cụ thể về hãng, tuyến hoặc ưu đãi; route hiện tại chỉ là hub chung và không tương đương, nên giữ URL để tạo landing riêng."
/cung-ve-qatar-uu-dai-bay-cao-bay-xa-gia-chi-tu-4200000d-khu-hoi,create_specific_landing,/cung-ve-qatar-uu-dai-bay-cao-bay-xa-gia-chi-tu-4200000d-khu-hoi,"URL có intent cụ thể về hãng, tuyến hoặc ưu đãi; route hiện tại chỉ là hub chung và không tương đương, nên giữ URL để tạo landing riêng."
/bay-quoc-te-gia-re-voi-500-000-ve-0-dong-km-cua-vietjet-air,create_specific_landing,/bay-quoc-te-gia-re-voi-500-000-ve-0-dong-km-cua-vietjet-air,"URL có intent cụ thể về hãng, tuyến hoặc ưu đãi; route hiện tại chỉ là hub chung và không tương đương, nên giữ URL để tạo landing riêng."
/tag/bong-sen-vang,retire_low_value,/tag/bong-sen-vang,"Trang tag mỏng, 0 click và chỉ 3 impression; không có top query hay intent đủ rõ để giữ hoặc chuyển hướng."
/cebu-pacific-tung-ve-cuc-re-di-philippines-chi-tu-59-usd,create_specific_landing,/cebu-pacific-tung-ve-cuc-re-di-philippines-chi-tu-59-usd,"URL có intent cụ thể về hãng, tuyến hoặc ưu đãi; route hiện tại chỉ là hub chung và không tương đương, nên giữ URL để tạo landing riêng."
/tag/ve-may-bay-korean-air-bao-nhieu-tien,retire_low_value,/tag/ve-may-bay-korean-air-bao-nhieu-tien,"Trang tag mỏng, 0 click và chỉ 3 impression; không có top query hay intent đủ rõ để giữ hoặc chuyển hướng."
/tag/vietnam-airlines-km-ve-chi-tu-399-000d,retire_low_value,/tag/vietnam-airlines-km-ve-chi-tu-399-000d,"Trang tag mỏng, 0 click và chỉ 3 impression; không có top query hay intent đủ rõ để giữ hoặc chuyển hướng."
