source_path,recommendation_type,recommended_target_or_slug,rationale
/dat-mua-ve-may-bay-vietnam-airlines-di-los-angeles,create_specific_landing,/dat-mua-ve-may-bay-vietnam-airlines-di-los-angeles,Nhu cầu vé Vietnam Airlines đi Los Angeles rất cụ thể; route tương đương không hợp lệ nên giữ URL để tạo landing.
/khuyen-mai-ngan-uu-dai-chao-thang-7-tu-bamboo-airways,create_specific_landing,/khuyen-mai-ngan-uu-dai-chao-thang-7-tu-bamboo-airways,"Truy vấn tập trung giá tháng 7, mã khuyến mãi và Bamboo; không có route tương đương để redirect."
/kinh-nghiem-cho-nguoi-moi-di-may-bay-lan-dau,create_specific_landing,/kinh-nghiem-cho-nguoi-moi-di-may-bay-lan-dau,Intent hướng dẫn người đi máy bay lần đầu rất cụ thể; hub cẩm nang không thay thế đầy đủ nội dung này.
/jetstar-pacific-khuyen-mai-dac-biet-ve-cuoi-tuan-chi-tu-79-000d,create_specific_landing,/jetstar-pacific-khuyen-mai-dac-biet-ve-cuoi-tuan-chi-tu-79-000d,Intent khuyến mãi Jetstar cuối tuần và mức giá cụ thể; chưa có landing tương đương trong route hợp lệ.
/doi-ngay-ve-may-bay-china-airlines-di-dallas-my,create_specific_landing,/doi-ngay-ve-may-bay-china-airlines-di-dallas-my,Nhu cầu đổi ngày China Airlines đi Dallas là intent dịch vụ và tuyến cụ thể; không dùng hub vé máy bay.
/hai-long-khi-bay-cung-qatar-du-ngoan-the-gioi-ve-khu-hoi-tu-16100000-vnd,create_specific_landing,/hai-long-khi-bay-cung-qatar-du-ngoan-the-gioi-ve-khu-hoi-tu-16100000-vnd,"Bài có chủ đề Qatar, hành trình và giá khứ hồi cụ thể; không có route tương đương, nên giữ URL để phát triển nội dung."
/cung-qatar-trai-nghiem-mua-thu-chau-au-lang-man-ve-khu-hoi-chi-tu-19900000-vnd,create_specific_landing,/cung-qatar-trai-nghiem-mua-thu-chau-au-lang-man-ve-khu-hoi-chi-tu-19900000-vnd,Chủ đề Qatar và hành trình châu Âu theo mùa có intent cụ thể; không redirect về hub cẩm nang chung.
/starlux-airlines-khuyen-mai-10-ve-may-bay-di-dai-bac,create_specific_landing,/starlux-airlines-khuyen-mai-10-ve-may-bay-di-dai-bac,"Truy vấn nêu rõ Starlux, khuyến mãi 10% và Đài Bắc; chưa có route landing tương đương."
/cang-bay-cang-yeu-ve-vietjet-chi-tu-0-dong-di-an-do,create_specific_landing,/cang-bay-cang-yeu-ve-vietjet-chi-tu-0-dong-di-an-do,Intent Vietjet đi Ấn Độ và Ahmedabad cụ thể; không có route đích tương đương trong danh sách hợp lệ.
/ve-may-bay-di-anh-gia-re,create_specific_landing,/ve-may-bay-di-anh-gia-re,Nhu cầu vé giá rẻ đi Anh là intent điểm đến rõ ràng; route /ve-may-bay quá rộng để thay thế.
/dat-mua-ve-may-bay-china-airlines-di-miami-florida,create_specific_landing,/dat-mua-ve-may-bay-china-airlines-di-miami-florida,"Intent China Airlines đi Miami, kèm truy vấn Miami và Havana; chưa có route tương đương để remap."
/8-hang-bay-cua-chau-lap-lien-minh-hang-khong-gia-re,remap_existing,/hang-bay,Intent tìm hiểu liên minh và hãng hàng không phù hợp với hub hãng bay hợp lệ; không có tín hiệu click cần giữ URL riêng.
